LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
POL,PISAMATH,GIRL,MEANSCORE,A,2015,499,
PRT,PISAMATH,BOY,MEANSCORE,A,2015,497,
PRT,PISAMATH,GIRL,MEANSCORE,A,2015,487,
SVK,PISAMATH,BOY,MEANSCORE,A,2015,478,
SVK,PISAMATH,GIRL,MEANSCORE,A,2015,472,
ESP,PISAMATH,BOY,MEANSCORE,A,2015,494,
ESP,PISAMATH,GIRL,MEANSCORE,A,2015,478,
SWE,PISAMATH,BOY,MEANSCORE,A,2015,493,
SWE,PISAMATH,GIRL,MEANSCORE,A,2015,495,
CHE,PISAMATH,BOY,MEANSCORE,A,2015,527,
CHE,PISAMATH,GIRL,MEANSCORE,A,2015,515,
TUR,PISAMATH,BOY,MEANSCORE,A,2015,423,
TUR,PISAMATH,GIRL,MEANSCORE,A,2015,418,
GBR,PISAMATH,BOY,MEANSCORE,A,2015,498,
GBR,PISAMATH,GIRL,MEANSCORE,A,2015,487,
USA,PISAMATH,BOY,MEANSCORE,A,2015,474,
USA,PISAMATH,GIRL,MEANSCORE,A,2015,465,
BRA,PISAMATH,BOY,MEANSCORE,A,2015,385,
BRA,PISAMATH,GIRL,MEANSCORE,A,2015,370,
CHL,PISAMATH,BOY,MEANSCORE,A,2015,432,
CHL,PISAMATH,GIRL,MEANSCORE,A,2015,413,
EST,PISAMATH,BOY,MEANSCORE,A,2015,522,
EST,PISAMATH,GIRL,MEANSCORE,A,2015,517,
IDN,PISAMATH,BOY,MEANSCORE,A,2015,385,
IDN,PISAMATH,GIRL,MEANSCORE,A,2015,387,
ISR,PISAMATH,BOY,MEANSCORE,A,2015,474,
ISR,PISAMATH,GIRL,MEANSCORE,A,2015,466,
RUS,PISAMATH,BOY,MEANSCORE,A,2015,497,
RUS,PISAMATH,GIRL,MEANSCORE,A,2015,491,
SVN,PISAMATH,BOY,MEANSCORE,A,2015,512,
SVN,PISAMATH,GIRL,MEANSCORE,A,2015,508,
OAVG,PISAMATH,BOY,MEANSCORE,A,2015,494,
OAVG,PISAMATH,GIRL,MEANSCORE,A,2015,486,
LVA,PISAMATH,BOY,MEANSCORE,A,2015,481,
LVA,PISAMATH,GIRL,MEANSCORE,A,2015,483,
SGP,PISAMATH,BOY,MEANSCORE,A,2015,564,
SGP,PISAMATH,GIRL,MEANSCORE,A,2015,564,
COL,PISAMATH,BOY,MEANSCORE,A,2015,395,
COL,PISAMATH,GIRL,MEANSCORE,A,2015,384,
HKG,PISAMATH,BOY,MEANSCORE,A,2015,549,
HKG,PISAMATH,GIRL,MEANSCORE,A,2015,547,
PER,PISAMATH,BOY,MEANSCORE,A,2015,391,
PER,PISAMATH,GIRL,MEANSCORE,A,2015,382,
TWN,PISAMATH,BOY,MEANSCORE,A,2015,545,
TWN,PISAMATH,GIRL,MEANSCORE,A,2015,539,
MAC,PISAMATH,BOY,MEANSCORE,A,2015,540,
MAC,PISAMATH,GIRL,MEANSCORE,A,2015,548,
